station,valid,metar
BOS,8/25/2020 5:54,KBOS 250554Z 20005KT 10SM FEW220 23/21 A2984 RMK AO2 SLP105 T02280211 10261 20228 58016
BOS,8/25/2020 6:54,KBOS 250654Z 19006KT 10SM FEW220 22/21 A2983 RMK AO2 SLP100 T02220211
BOS,8/25/2020 7:54,KBOS 250754Z 21009KT 10SM FEW220 22/21 A2981 RMK AO2 SLP093 T02220211
BOS,8/25/2020 8:54,KBOS 250854Z 21008KT 10SM FEW220 22/21 A2979 RMK AO2 SLP088 T02220206 57018
BOS,8/25/2020 9:54,KBOS 250954Z 21007KT 10SM FEW140 FEW220 22/21 A2979 RMK AO2 SLP086 T02220206
BOS,8/25/2020 10:54,KBOS 251054Z 22010KT 10SM FEW140 SCT250 23/21 A2977 RMK AO2 SLP080 T02280206
BOS,8/25/2020 11:54,KBOS 251154Z 27009KT 10SM BKN250 24/21 A2977 RMK AO2 SLP079 T02440206 10244 20217 56008
BOS,8/25/2020 12:54,KBOS 251254Z 27005KT 10SM FEW200 BKN250 26/20 A2974 RMK AO2 SLP072 T02610200
BOS,8/25/2020 13:54,KBOS 251354Z 24008KT 10SM FEW140 SCT200 BKN250 27/19 A2972 RMK AO2 SLP062 T02720194
BOS,8/25/2020 14:54,KBOS 251454Z 26011KT 10SM FEW140 SCT200 BKN250 28/19 A2971 RMK AO2 SLP059 T02830194 56020
BOS,8/25/2020 15:54,KBOS 251554Z 27010G20KT 10SM FEW070 BKN120 BKN250 28/19 A2970 RMK AO2 SLP056 T02830189
BOS,8/25/2020 16:54,KBOS 251654Z 28010KT 10SM FEW065TCU FEW120 BKN250 30/17 A2967 RMK AO2 SLP047 TCU S T03000172
BOS,8/25/2020 17:54,KBOS 251754Z 26012G20KT 10SM FEW050 FEW250 30/17 A2966 RMK AO2 SLP043 T03000172 10306 20244 58016
BOS,8/25/2020 18:54,KBOS 251854Z 25012KT 10SM FEW055 30/16 A2964 RMK AO2 SLP036 T03000161
BOS,8/25/2020 19:54,KBOS 251954Z 29014G25KT 10SM FEW055 FEW120 FEW250 31/15 A2962 RMK AO2 SLP029 T03110150
